20 100 4
5 2 2 1
38 59 75 100
12524 11193 8425 6627
10 44 66 17
46 34 67 45
36 97 78 38
84 16 64 75
58 68 57 79
49 57 100 95
51 59 35 13
60 14 67 10
61 41 31 93
59 34 95 71
80 29 64 75
100 64 94 60
66 11 96 42
90 31 49 65
15 69 49 26
15 75 16 44
19 28 59 12
62 71 52 51
53 22 23 18
75 33 85 61
43 61 58 46
73 79 28 37
41 27 14 62
18 21 39 89
22 94 66 47
95 21 84 37
94 30 82 97
29 70 91 76
39 64 68 67
37 50 70 93
60 33 23 32
51 56 51 63
45 74 34 13
52 24 94 89
71 37 100 29
21 27 58 68
44 59 69 28
10 21 82 36
97 78 48 82
48 82 25 15
33 70 65 68
18 76 19 77
74 34 13 32
33 58 72 100
91 75 26 76
10 59 40 16
99 69 87 84
76 82 48 67
85 88 28 47
86 66 10 43
43 33 33 12
51 75 71 90
12 98 37 66
92 48 88 61
100 31 90 77
68 15 13 90
11 78 44 88
69 72 67 52
95 76 49 67
52 65 43 34
36 10 28 25
14 16 43 43
46 67 80 96
67 87 18 84
59 33 76 14
39 60 35 75
92 53 97 25
86 56 95 75
91 21 69 39
80 53 43 97
78 77 21 32
51 84 90 54
48 42 39 10
18 88 44 91
44 82 81 49
73 23 37 15
36 68 21 50
62 46 79 15
27 65 63 87
19 36 18 93
41 95 62 19
62 85 58 30
85 45 11 87
31 97 24 18
75 35 17 35
15 28 53 48
23 76 71 48
26 33 93 68
45 52 24 51
30 66 21 53
79 98 100 18
90 58 56 70
74 52 64 17
23 31 38 100
82 41 23 56
50 41 19 46
24 17 10 12
49 57 66 61
67 19 63 18
80 78 97 67
13192 10203 8556 6042
76 14 28 66
75 73 46 42
75 26 42 44
79 68 22 51
24 94 74 10
38 47 63 43
31 74 49 39
13 72 22 97
64 59 82 52
50 62 64 51
90 99 80 75
15 49 63 81
33 82 40 53
74 77 38 72
80 24 48 58
43 73 34 56
46 93 36 38
61 29 28 61
51 75 66 35
61 70 44 83
91 36 100 70
56 92 100 93
65 47 93 94
42 83 99 44
73 96 71 33
72 28 54 15
52 80 22 58
94 59 55 95
94 22 96 85
95 60 31 15
64 31 92 68
36 61 62 84
17 85 31 44
82 36 80 30
56 85 53 70
26 25 61 17
57 48 90 70
62 51 47 37
29 65 12 37
83 80 73 69
56 28 29 11
99 39 71 22
36 96 30 84
58 29 61 29
90 85 99 15
92 69 60 36
58 29 11 99
93 77 81 72
49 48 65 63
20 61 59 67
88 14 12 71
81 49 18 22
72 65 18 69
17 21 50 72
20 76 83 74
67 60 23 55
14 74 96 49
18 41 28 67
26 52 87 19
53 56 25 88
78 79 57 73
20 51 85 14
82 53 43 91
38 90 98 95
16 77 41 98
13 33 57 63
83 11 45 88
49 100 100 76
63 52 70 32
77 38 76 81
35 68 51 27
80 60 49 44
85 50 43 77
36 86 22 91
72 54 38 82
38 41 92 29
57 24 56 83
13 88 58 99
91 52 14 10
18 38 12 23
18 47 28 13
69 70 46 95
64 21 18 13
31 49 44 53
71 36 65 68
83 57 56 40
70 13 60 32
76 15 43 70
28 76 14 59
75 81 67 91
89 39 49 100
65 68 42 10
29 31 88 38
88 73 12 67
49 46 51 86
98 76 81 46
58 26 49 49
25 12 14 20
66 54 21 62
89 35 100 50
13153 11072 8261 6588
43 24 16 25
52 87 18 98
88 59 29 50
84 37 68 55
86 35 47 32
25 59 64 57
38 20 93 38
21 21 34 54
14 90 97 12
74 41 92 19
83 92 36 53
100 46 15 13
77 68 18 22
40 26 22 97
59 15 46 14
48 15 51 62
72 84 23 89
31 49 15 77
51 85 47 59
22 59 86 26
53 99 35 65
100 33 30 30
65 29 94 13
37 15 43 44
10 48 88 22
94 46 86 10
97 44 73 45
60 13 18 93
50 20 23 99
15 26 75 48
62 69 38 62
16 93 65 100
20 23 45 35
83 52 96 94
11 90 64 43
42 58 88 45
31 97 39 29
91 96 41 70
49 37 82 34
31 91 40 60
41 59 15 79
36 99 36 27
73 37 86 80
84 43 70 65
70 73 49 10
37 35 71 17
46 97 25 35
85 95 18 86
26 12 21 56
63 73 55 28
77 70 95 42
60 97 11 23
55 80 57 90
20 87 71 48
36 45 63 62
68 88 65 73
67 42 52 81
56 22 15 36
33 89 87 17
17 71 49 23
16 58 59 71
80 37 61 70
22 94 20 29
59 67 49 100
24 32 16 28
52 76 40 16
62 51 67 88
73 22 55 46
40 26 60 75
93 25 26 10
90 57 30 42
83 95 41 56
28 53 43 69
80 73 28 94
80 36 100 14
97 87 49 44
100 71 86 76
51 60 98 88
60 14 44 64
36 80 75 97
75 97 54 56
48 16 94 74
55 16 17 49
74 70 82 75
43 85 96 98
56 70 73 91
49 32 81 12
14 88 63 78
62 55 43 47
81 90 12 78
90 28 10 39
95 10 80 22
91 83 74 40
20 76 71 90
56 68 99 65
72 48 90 89
20 73 40 47
48 91 94 38
30 70 69 66
31 87 38 18
12530 10362 8058 6490
29 89 94 16
26 95 36 52
60 47 23 70
72 96 98 14
62 11 95 46
37 47 94 99
66 98 60 83
47 16 58 26
20 58 10 24
58 35 91 14
97 12 66 26
11 51 72 10
38 44 79 37
18 55 39 40
26 14 13 15
56 84 18 96
19 49 35 42
45 71 85 31
95 74 51 49
15 73 15 100
59 24 34 83
55 96 52 36
74 33 81 60
38 84 36 60
53 59 25 51
98 31 33 18
65 16 48 39
28 72 81 69
68 60 91 91
10 99 46 95
87 20 43 81
70 22 46 79
77 74 66 77
77 24 93 31
100 93 21 37
88 26 27 37
42 92 91 54
91 70 70 23
17 62 29 50
27 46 85 45
40 78 21 65
91 37 11 50
16 44 93 69
51 69 11 12
53 80 50 33
40 67 45 77
100 16 73 70
13 20 40 83
29 31 15 82
83 51 34 90
68 77 34 60
19 29 56 18
90 53 18 77
67 69 71 38
56 42 19 31
60 55 23 81
27 22 72 72
89 44 41 58
15 67 76 54
55 31 80 94
98 80 44 72
68 66 39 77
75 22 26 98
26 97 11 15
66 65 44 67
17 100 46 19
92 95 95 64
66 43 21 44
27 64 74 44
38 17 71 39
29 42 66 66
25 77 55 89
13 99 63 50
80 82 56 70
11 86 62 17
61 34 82 34
40 41 19 77
27 15 35 68
25 21 38 42
66 42 45 58
37 24 86 95
66 23 29 79
17 89 63 35
45 10 75 97
47 95 53 61
28 11 47 94
28 16 15 18
29 34 69 31
91 66 92 67
91 56 67 34
50 92 48 48
16 16 93 56
15 87 42 51
76 31 31 10
17 25 100 20
38 24 43 92
91 24 80 54
98 27 21 32
50 39 32 85
25 22 88 51
13195 11291 8237 6988
26 89 27 33
85 46 88 34
90 23 24 11
45 97 46 82
20 71 54 41
71 91 20 52
