30 250 4
1 1 1 1
110 165 208 250
27375 21695 15740 9542
71 94 52 49
80 70 69 55
16 88 38 91
17 91 82 70
78 51 50 52
50 42 11 29
33 19 82 34
14 35 22 67
93 23 72 78
52 90 13 24
13 91 58 72
42 85 46 69
21 96 62 49
50 12 51 68
51 78 31 29
52 48 91 18
32 53 18 22
95 73 42 92
63 89 75 32
76 40 98 40
15 61 43 59
98 96 55 60
60 96 38 94
27 63 18 56
98 97 48 99
14 50 54 65
97 24 96 97
18 37 24 62
91 82 14 48
24 34 66 23
57 18 31 66
62 42 24 24
15 94 93 64
95 38 78 13
83 20 55 51
45 67 10 12
44 32 42 92
77 48 93 22
52 59 15 80
94 55 19 87
97 82 31 93
24 61 98 11
30 64 58 28
48 61 92 38
24 47 30 49
36 81 21 64
85 56 45 62
85 64 49 31
88 90 21 33
35 13 49 72
29 10 55 81
28 66 78 57
99 85 52 21
94 37 59 71
78 61 33 88
12 32 32 98
32 58 40 26
60 20 35 17
77 39 20 58
32 79 71 15
98 60 94 93
81 24 35 89
17 61 92 63
82 89 41 21
65 70 81 66
44 77 85 93
32 57 93 94
18 71 24 99
42 31 63 79
48 35 65 34
33 89 74 22
27 49 17 48
77 26 34 92
73 74 95 31
19 64 30 12
83 75 25 12
74 30 28 10
20 11 18 37
47 85 96 98
65 36 26 57
11 83 73 81
85 21 24 83
45 66 52 44
28 40 47 48
71 43 14 20
91 75 23 13
71 92 49 25
48 60 53 43
67 88 51 39
95 78 84 71
67 54 44 81
50 14 71 35
84 63 45 62
24 13 42 55
24 69 29 51
14 53 64 26
58 100 48 38
74 76 38 24
37 10 78 64
44 46 17 11
56 72 10 46
32 20 13 46
38 87 86 33
91 28 63 52
52 33 62 98
74 59 77 94
93 91 65 25
47 62 23 48
69 98 19 95
43 75 14 59
93 75 91 79
77 59 37 99
73 83 75 84
33 11 88 14
37 30 52 14
48 34 20 33
24 83 98 18
78 27 92 95
43 15 60 28
39 32 95 23
24 75 65 53
29 80 70 51
62 86 39 21
84 74 76 58
25 60 86 92
65 61 82 76
82 52 20 57
12 87 100 87
41 52 31 64
83 52 86 19
46 63 81 15
98 70 42 82
55 32 27 93
26 85 94 31
75 25 26 15
90 41 85 100
98 66 57 42
95 44 61 42
13 19 97 73
40 34 86 58
50 98 13 86
91 86 16 27
92 51 42 81
37 68 82 78
81 45 24 92
80 13 89 26
83 68 25 47
93 57 38 82
61 10 66 82
86 15 51 59
31 24 58 97
37 75 69 78
69 57 50 81
31 17 13 27
27 88 46 97
91 63 41 76
17 87 29 53
96 46 75 81
40 52 30 22
59 45 28 77
92 68 28 50
61 45 53 23
92 28 94 84
59 70 41 27
58 29 87 85
25 10 60 44
47 15 55 95
26 65 25 74
14 85 59 11
17 65 81 16
80 66 16 96
11 47 93 90
74 31 87 92
36 22 91 45
81 13 33 64
61 38 88 18
73 61 12 11
91 57 97 53
97 40 92 60
64 51 88 40
23 49 97 34
78 100 44 44
22 18 45 57
20 37 28 64
80 100 49 78
83 38 69 83
35 15 73 84
17 41 74 45
42 94 23 38
41 38 57 79
54 42 64 52
86 90 83 64
40 18 54 46
51 24 16 89
50 91 93 74
83 93 92 60
85 20 22 91
17 85 76 23
20 70 46 88
19 18 19 11
99 45 27 44
24 60 25 96
87 22 50 62
63 41 40 83
39 38 95 74
52 82 52 90
27 68 82 68
17 70 100 28
12 92 31 53
45 90 24 11
35 93 39 70
63 74 77 48
53 47 63 67
18 82 60 76
80 12 75 100
19 91 11 25
64 24 52 11
78 17 16 12
20 16 25 98
42 68 85 28
57 29 40 43
75 90 33 68
70 76 25 27
58 10 18 83
85 99 17 19
12 41 10 84
82 28 82 89
82 39 51 17
96 15 60 32
77 31 79 52
16 29 68 23
71 21 60 73
66 28 98 51
57 84 34 40
26 27 48 99
64 59 83 97
50 75 32 52
31 48 50 53
26 65 81 92
95 19 99 59
30 95 78 13
87 60 96 75
71 36 75 28
77 66 26 49
75 31 11 13
48 52 10 58
25 82 24 46
72 32 11 78
54 74 38 32
40 34 87 83
24916 21100 14878 9653
35 49 60 64
48 94 37 32
92 88 57 83
49 88 73 10
45 100 30 39
76 91 93 60
56 58 84 70
69 40 55 77
55 53 45 32
98 53 87 90
24 76 87 92
